"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"11","Tamouza et al.","2021","Identification of inflammatory subgroups of schizophrenia and bipolar disorder patients with HERV-W ENV antigenemia by unsupervised cluster analysis",NA,"Case-control",NA,"France","2013 - 2019",61,"29",32,"30.95",11.39,"34.17","11.75","28.03","11.05","20.48",3.9,40,21,20,9,19,13,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","Absence of any somatic disease, absence of any personal or familial history of psychiatric disorder",0.524728528934982,-0.385662480811985,1.44220199305819,"N","Case-control",NA,"N","N",7,"Good","OR",1,"61",1,"0.655737705",1,"Unadjusted",0.217428189741038,"PA"
"12","Whitfield et al.","2005","Adverse childhood experiences and hallucinations","ACE","Cross-sectional",NA,"USA",NA,17337,"347",16990,"57",15.3,NA,NA,NA,NA,NA,NA,7970,9367,NA,NA,NA,NA,"Self-report","Hallucinations","Dimensional","CTS","CT, PA, EA, SA, PS","Y","no hallucinations",0.544205659475858,0.328845368721967,0.759565808189152,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"17337",1,"0.459710446",1,"Unadjusted",0.0120731008547744,"PA"
"13","Nishida et al.","2008","Associations between psychotic-like experiences and mental health status and other psychopathologies among Japanese early teens","ESPAT","Cross-sectional",NA,"Japan",NA,4894,NA,NA,"13.3",0.9,NA,NA,NA,NA,NA,NA,2523,2371,NA,NA,NA,NA,"DISC-C","PLE","Dimensional","Self report","PA, BUL","N","without PLE",1.07500242302898,0.837247524533702,1.31372366828506,"N","Cross-sectional",NA,"N","Y",8,"Good","OR",1,"4894",2,"0.515529219",3,"Unadjusted",0.0147744114147855,"PA"
"14","Oshima et al.","2010","Psychotic-like experiences (PLEs) and mental health status in twin and singleton Japanese high school students",NA,"Cross-sectional",NA,"Japan",NA,341,NA,NA,"before 18y",NA,NA,NA,NA,NA,NA,NA,173,168,NA,NA,NA,NA,"DISC-C","PLE","Dimensional","Self report","PA, BUL","N","lower PLE",0.368109321564396,-0.677273831403655,1.41317968990127,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"341",2,"0.507331378",3,"Unadjusted",0.284386448663068,"PA"
"15","Morgan et al.","2014","Adversity, cannabis use and psychotic experiences: evidence of cumulative and synergistic effects","SELCoH","Cross-sectional",NA,"UK","2008-2010",1680,"315",1365,"39",16.9,NA,NA,NA,NA,NA,NA,734,946,147,168,587,778,"PSQ","PE","Dimensional","Self-DQ","CT, PA, SA","Y","without psychotic expeiences",0.982078472412158,0.72270598280149,1.24415459395877,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"1680",1,"0.436904762",NA,"Unadjusted",0.0176950134109391,"PA"
"16","Boyda & McFeeters","2015","Childhood maltreatment and social functioning in adults with sub-clinical psychosis","APMS 2007","Cross-sectional",NA,"UK","2006-2007",7403,NA,NA,"46",18.6,NA,NA,NA,NA,NA,NA,3197,4206,NA,NA,NA,NA,"Psychosis Screening Questionnaire","PLEs","Dimensional","Selection of items from the domestic violence and abuse survey","PA, EN, SA, PS, NG","N",NA,0.86288995514704,0.332177312338332,1.36558131952235,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"7403",1,"0.431851952",NA,"Unadjusted",0.0694973345782996,"PA"
"17","Dias et al.","2015","Child maltreatment and psychological symptoms in a Portuguese adult community sample: the harmful effects of emotional abuse","Children of Colonial War: Post Memory and Representations","Cross-sectional",NA,"Portugal","2008-2010",1200,"228",972,"37.43",16.95,NA,NA,NA,NA,NA,NA,648,533,122,102,526,431,"BSI","Psychotism, PI","Dimensional","CTQ-SF","CT, EA,EN,PA,PN,SA","Y",NA,1.57277392806251,0.985816794522765,2.16332302566054,"N","Cross-sectional","CT vs no CT",NA,NA,5,"Fair","Mean_SD",1,"1181",1,"0.548687553",NA,"Unadjusted",0.0902306932247163,"PA"
"18","Bortolon et al.","2017","Exploration of trauma, dissociation, maladaptive schemas and auditory hallucinations in a French sample",NA,"cross-sectional",NA,"France",NA,402,NA,NA,"36.23",15.2,NA,NA,NA,NA,NA,NA,71,331,NA,NA,NA,NA,"The Launay每Slade hallucination scale","Hallucination","Dimensional","CTQ","CT, SA, EN, EA, PN, PA","Y","low score on hallucination",1.05431202977153,0.559615787935423,1.54543258245819,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"402",1,"0.176616915",NA,"Unadjusted",0.063244139965323,"PA"
"19","Bolhuis et al.","2018","Psychotic-like experiences in preadolescence: what precedes the antecedent symptoms of severe mental illness?","the Generation R Study","Cohort study",NA,"the Netherlands","2002-2006",3822,"232",3590,"9.82",0.35,"9.81","0.35","9.82","0.35",NA,NA,1877,1945,114,118,1763,1827,"YSR","PLEs","Diagnostic","childhood adversities interview for mother","PA, SA, AB","N","Children with less psychotic-like experiences",0.431782416425538,0,0.871293365943419,"Y","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"3822",2,"0.491104134",NA,"Unadjusted",0.0494033820242225,"PA"
"20","Croft et al.","2019","Association of Trauma Type, Age of Exposure, and Frequency in Childhood and Adolescence With Psychotic Experiences in Early Adulthood","ALSPAC","Cohort study",NA,"UK",NA,4433,NA,NA,"17.8",0.38,NA,NA,NA,NA,"18",NA,1929,2504,NA,NA,NA,NA,"PLIKSi","PE","Dimensional","Self-DQ","CT, PA, EA, EN, SA","N","no psychotic experience",0.858661619037519,0.615185639090233,1.10525683138678,"N","Cohort study",NA,"N","Y",12,"Good","OR",1,"3758",1,"0.438265035",NA,"Unadjusted",0.0156295406548676,"PA"
"21","Morgan et al.","2020","Threat, hostility, and violence in childhood and later psychotic disorder: population-based case-control study","CAPsy","Case-control",NA,"UK","2010-2014",675,"374",301,"32.1",10.6,"28.9","8.9","35.1","12.3",NA,NA,382,293,229,145,153,148,"SCAN, ICD-10","FEP, AP","Diagnostic","CECA","CT, PA, EA, SA, BUL, AB","Y","No current or past history of psychiatric disorders",0.824175442966349,0.364643113587909,1.28647402583768,"N","Case-control",NA,"Y","Y",8,"Good","OR",1,"675",1,"0.565925926",1,"Adjusted",0.0553006709951091,"PA"
"22","Kelleher et al.","2013","Childhood Trauma and Psychosis in a Prospective Cohort Study: Cause, Effect, and Directionality","SEYLE","Cohort study","1 year","Multiple countries",NA,1112,NA,NA,"13.73",NA,NA,NA,NA,NA,NA,NA,616,496,NA,NA,NA,NA,"APSS","PEs","Dimensional","Self DQ","PA, BUL","N","no current and previous psychotic experience",1.82293508669651,0.494696241836107,3.14845336057166,"Y","Cohort study",NA,"N","Y",11,"Good","OR",1,"1112",2,"0.553956835",3,"Adjusted",0.458300372581711,"PA"
"23","Bell et al.","2019","Childhood abuse and psychotic experiences in adulthood: findings from a 35-year longitudinal study","CHDS","Cohort study","19 years","New Zealand","1977-2001",1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,630,NA,NA,NA,NA,"DSM-IV","symptoms of abnormal thought, symptoms of abnormal perception","Dimensional","Self-DQ","PA, SA","N",NA,0.438254930931155,-0.105360515657826,0.974559639998131,"N","Cohort study",NA,"N","Y",12,"Good","OR",1,"1265",1,"0.501976285",3,"Adjusted",0.0758946495335268,"PA"
"24","Kelleher et al.","2008","Associations between childhood trauma, bullying and psychotic symptoms among a school-based adolescent sample","Challenging Times Study","Cross-sectional",NA,"Ireland",NA,211,"14",197,"range12-15",NA,NA,NA,NA,NA,NA,NA,99,112,10,4,89,108,"DSM-IV, K-SADS-PL","AHE, VHE","Dimensional","K-SADS","PA, SA, BUL","N","No psychotic symptoms",1.78507048107726,0.2390169004705,3.33113250721387,"Y","Cross-sectional",NA,"N","Y",7,"Good","OR",1,"211",2,"0.469194313",2,"Adjusted",0.622213330738879,"PA"
"25","Saha et al.","2011","The association between trauma and delusional-like experiences","SMHWB","Cross-sectional",NA,"Australia","2007",8773,"776",7997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI","DLE","Diagnostic","CIDI","CT, PA, SA, PL","Y","No delusion-like experiences",0.845868267577609,0.398776119957368,1.29198368164865,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"#VALUE!",2,NA,2,"Adjusted",0.0519197566289101,"PA"
"26","Fisher et al.","2012","Anxiety and negative self schemas mediate the association between childhood maltreatment and paranoia",NA,"Cross-sectional",NA,"UK",NA,212,NA,NA,"27",8.4,NA,NA,NA,NA,NA,NA,73,139,NA,NA,NA,NA,"PSQ","PI","Dimensional","CTQ","PA, EA","N","never diagnosed with psychosis or prescribed anti-psychotic medication.",0.19062035960865,0,0.364643113587909,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"212",1,"0.344339623",1,"Adjusted",0.00865294410448022,"PA"
"27","van Nierop et al.","2014","Psychopathological Mechanisms Linking Childhood Traumatic Experiences to Risk of Psychotic Symptoms: Analysis of a Large, Representative Population-Based Sample","NEMESIS-I, NEMESIS-II","Cohort study",NA,"The Netherlands",NA,13722,"2359",11363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI, SCID-I","PEs","Diagnostic","NEMESIS survey(own)","CT, EN, PA, EA, SA, PL","Y",NA,0.2390169004705,0.139761942375159,0.3293037471426,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"#VALUE!",NA,NA,NA,"Adjusted",0.00233796437386109,"PA"
"28","Wang et al.","2019","Rural birth/upbringing and childhood adversities are associated with psychotic experiences in university students in China",NA,"Cross-sectional",NA,"China","2013",4620,NA,NA,"19.58",0.85,NA,NA,NA,NA,NA,NA,2260,2360,NA,NA,NA,NA,"SCL-90-R","PSYC, PI","Dimensional","six questions extracted from WMHCIDI-3.1","CT, PA, NG","Y","The participants who had
or have psychotic disorder were excluded.",0.430482871083452,0.244513577050402,0.616805947303223,"N","Cross-sectional",NA,"N","Y",9,"Good","OR",2,"4620",1,"0.489177489",NA,"Adjusted",0.00901978400591311,"PA"
"29","Adewuya et al.","2021","Psychotic like experiences among Nigerian school adolescents: Findings from the Lagos Schools Emotional and Behavioral Health Survey",NA,"Cross-sectional",NA,"Nigeria",NA,9441,"990",8451,"15.61",1.49,NA,NA,NA,NA,NA,NA,4684,4757,NA,NA,NA,NA,"PQ-16","PLE","Diagnostic","Self-DQ","PA","N","no PLEs",0.68158054418848,0.511625303936555,0.851005265175526,"N","Cross-sectional",NA,"N","N",7,"Good","OR",2,"9441",2,"0.496133884",NA,"Adjusted",0.00749549394071255,"PA"
"30","Rubino et al.","2009","Early adverse experiences in schizophrenia and unipolar depression",NA,"Case-control",NA,"Italy",NA,483,"173",310,"36.97",11.92,"36.2","11.2","37.4","12.3",NA,NA,246,237,111,62,135,175,"DSM-IV, SCID-I","SCZ","Diagnostic","AQ","CT, PA, EA, SA, PL, PS","Y","NR",1.75584439752793,0.927860530882863,2.58382826417299,"N","Case-control",NA,"N","N",7,"Good","OR",1,"483",1,"0.50931677",1,"Unadjusted",0.178456185814378,"PA"
"31","Braehler et al.","2013","Childhood trauma and dissociation in first-episode psychosis, chronic schizophrenia and community controls",NA,"Case-control",NA,"Canada",NA,170,"104",66,"27.1",6.44,"26.59","5.66","27.9","7.4",NA,NA,115,55,77,27,38,28,"SCID, DSM-IV-TR","FEP, SCZ, PSYD, affective psychosis, delusional disorder","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","NR",0.59783700075562,-0.396168974471832,1.59184297598307,"N","Case-control",NA,"N","N",7,"Good","OR",1,"170",1,"0.676470588",1,"Unadjusted",0.25719696969697,"PA"
"32","Kumari et al.","2013","Reduced thalamic volume in men with antisocial personality disorder or schizophrenia and a history of serious violence and childhood abuse",NA,"Case-control",NA,"UK",NA,43,"28",15,NA,NA,"34.5","6.3","32.13","7.47","22.79",6.14,43,0,28,NA,15,NA,"DSM-IV, SCID","SCZ","Diagnostic","Register, Self-INT","CT, PA, SA, NG","Y","no history of a mental disorder or violence",1.339774345485,-0.88078523454992,3.56033392551991,"N","Case-control",NA,"N","N",7,"Fair","OR",1,"43",1,"1",3,"Unadjusted",1.28354978354978,"PA"
"33","芍lvarez et al.","2015","Cumulative Effects of Childhood Traumas: Polytraumatization, Dissociation, and Schizophrenia",NA,"Case-control",NA,"Spain","2011 - 2012",123,"45",78,NA,NA,"41.1 (95 % CI 38.3每43.9)",NA,"36.1 (95 % CI 33.3每38.9)",NA,NA,NA,59,64,25,20,34,44,"DSM-IV","SCZ, SAD","Diagnostic","CTQ-SF","PA, EA, SA, PN, EN","N","no report of any current or
previous mental disease and/or psychopharmacologic
treatment.",1.04088810395027,0.233420079716097,1.84835612818444,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"123",1,"0.479674797",1,"Unadjusted",0.169722149666971,"PA"
"34","Barrig車n et al.","2015","Childhood trauma as a risk factor for psychosis: A sib-pair study",NA,"Case-control",NA,"Spain","2003-2009",120,"60",60,NA,NA,"31.1","8.1","32.3","10.6",NA,NA,48,68,27,31,21,37,"DSM-IV, SCID-I","SCZ, SAD, BDP, SPD","Diagnostic","semi-structured interview was designed by others","CT, EA, EN, PA, SA","Y","Free of psychotic symptoms",1.87337080467422,0.319449684927471,3.42729192442096,"N","Case-control",NA,"N","N",7,"Good","OR",1,"116",1,"0.413793103",3,"Unadjusted",0.628558633484742,"PA"
"35","Green et al.","2015","Do common genotypes of FK506 binding protein 5 (FKBP6) moderate the effects of childhood maltreatment on cognition in schizophrenia and healthy controls?","ASRB","Case-control",NA,"Australia","2006-2010",1276,"617",659,"41.11",12.32,"39.65","10.82","42.48","13.58",NA,NA,706,570,415,202,291,368,"DSM-IV, ICD-10","SCZ, SAD","Diagnostic","CAQ","CT, PA, EA, EN, SA, PN","Y","No personal history of DSM-IV axis 1 disorder and psychotic disorder in first degree biological relatives",0.883486009363312,0.55519411360743,1.2117779051192,"N","Case-control",NA,"N","N",7,"Good","OR",1,"1276",1,"0.553291536",1,"Unadjusted",0.0280548648529236,"PA"
"36","Jangam et al.","2015","Incidence of childhood abuse among women with psychiatric disorders compared with healthy women: Data from a tertiary care centre in India",NA,"Case-control",NA,"India","2013-2014",196,"96",100,"range 18-50",NA,NA,NA,NA,NA,NA,NA,0,196,0,96,0,100,"Clinian","SCZ","Diagnostic","ICAST-R","PA, EA, SA","N","without psychiatric disorder, and matched",0.343687748411921,-0.260882413911902,0.948257910735744,"N","Case-control",NA,"N","N",6,"Fair","OR",2,"196",1,"0",1,"Unadjusted",0.0951439715671215,"PA"
"37","Trauelsen et al.","2015","Childhood adversity specificity and dose-response effect in non-affective first-episode psychosis","OPUS","Case-control",NA,"Denmark","2011-2014",202,"101",101,NA,NA,"22.5 (media)","18-34","22 (median)","18-33",NA,NA,150,52,75,26,75,26,"ICD-10","F20-29, except F21","Diagnostic","CTQ","CT, SA, PA, EA, PN, EN, PL, PS","Y","no any previous psychiatric disorder;gender, age and parental education matched with patients",1.27888561832388,0.584329393914286,1.97344184273347,"N","Case-control",NA,"Y","Y",5,"Fair","OR",1,"202",1,"0.742574257",1,"Unadjusted",0.125574851329162,"PA"
"38","Trotta et al.","2016","Interplay between Schizophrenia Polygenic Risk Score and Childhood Adversity in First-Presentation Psychotic Disorder: A Pilot Study","GAP study","Case-control",NA,"UK",NA,541,"285",256,NA,NA,"28.9","9.3","29.2","9.9",NA,NA,309,232,172,113,137,119,"ICD-10, SCAN","FEP","Diagnostic","CECA-Q","CT, PA, SA, PL","Y","PSQ",0.497095430954089,0.0580405977585386,0.936150264149639,"N","Case-control",NA,"N","N",6,"Good","OR",1,"541",1,"0.57116451",1,"Unadjusted",0.0501793905019711,"PA"
"39","Veling et al.","2016","Childhood trauma, psychosis liability and social stress reactivity: a virtual reality study","VRIPS","Case-Control",NA,"The Netherlands",NA,108,"55",53,"25.27",4.55,"25.95","4.68","24.57","4.41",NA,NA,67,41,42,13,25,28,"DSM-IV","Psychotic disorder","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","a negative history of psychoticdisorder and did not have afirst degree family mem-ber diagnosed with a psychotic disorder.",2.1805376585512,0.0645477972121462,4.29652751989026,"N","Case-control",NA,"N","N",8,"Good","OR",1,"108",1,"0.62037037",1,"Unadjusted",1.16550736497545,"PA"
"40","Catalan et al.","2017","Relation between psychotic symptoms, parental care and childhood trauma in severe mental disorders",NA,"Case-control",NA,"Multiple countries","2009-2013",234,"61",173,NA,NA,"36.1","12.5","31.9","11.6",NA,NA,130,104,36,25,94,79,"DSM-IV-TR","FEP","Diagnostic","CTQ-SF","PA, EA, EN, SA, PN","N","did not have first每degree family members with a psychotic disorder.",2.03260259764167,0.365213771639757,3.69999142364357,"N","Case-control",NA,"N","N",8,"Good","OR",1,"234",1,"0.555555556",1,"Unadjusted",0.723705096073517,"PA"
"41","Lange et al.","2017","Modulation of HPA axis response to social stress in schizophrenia by childhood trauma",NA,NA,NA,"Switzerland","2013-2015",50,"25",25,"39.73",12.36,"38.3","13.5","41.16","11.1",NA,NA,34,16,18,7,16,9,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","PA, EA, SA, PN, EN","N","Inclusion criteria for controls were absence of a psychiatric disorder, and of a family history of SSD  ( schizophrenia spectrum disorders).",2.83321334405622,-0.103089006386032,5.76951569449846,"N","Case-control",NA,"N","N",7,"Fair","OR",1,"50",1,"0.68",1,"Unadjusted",2.24434389140272,"PA"
"42","<U+010C>erny et al.","2018","Violence in persons with and without psychosis in the Czech Republic: risk and protective factors",NA,"Case-control",NA,"Czech Republic","2008 - 2009",316,"158",158,"39.92",14.14,"39.76","13.9","40.07","14.38",NA,NA,186,130,93,65,93,65,"MINI, ICD-10","SCZ, SAD, delusional disorder, acute polymorphic psychotic disorder","Diagnostic","CECA-Q","CT, PA, SA","Y","without current psychotic disorders",-0.569880386547305,-1.13719281683464,-0.00256795625996975,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"316",1,"0.588607595",1,"Unadjusted",0.0837784760408484,"PA"
"43","Bruni et al.","2018","Childhood adversities are different in Schizophrenic Spectrum Disorders, Bipolar Disorder and Major Depressive Disorder",NA,"Case-control",NA,"Italy","2015-2017",176,"91",85,"41.94",11.74,"38.8","11.2","45.3","12.3","23.55",6.91,95,81,55,36,40,45,"DSM-IV-TR (SCID-I)","SSD","Diagnostic","CECA-Q","CT, PA, EA, EN, SA, PN, PL, NG","Y","no lifetime presence of schizophrenia spectrum disorder or affective disorders",4.09811104501758,2.08294080678872,6.11328128324644,"N","Case-control",NA,"N","N",9,"Good","OR",1,"176",1,"0.539772727",1,"Unadjusted",1.05708847590675,"PA"
"44","Quid谷 et al.","2018","Schizotypal personality traits and social cognitionare associated with childhood trauma exposure","the Imaging Genetics in Psychosis (IGP) dataset","Case-control",NA,"Australia","2010-2016",154,"79",75,NA,NA,"42.52","11.11","36.13","11.53","22.96",6.82,86,68,45,34,41,34,"ICD-10","SCZ, SAD","Diagnostic","CTQ-25","CT, PA, EA, EN, SA, PN","Y","no mental illness history and no psychotic history",0.672327552777555,-0.0977991053682297,1.44245421092334,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"154",1,"0.558441558",1,"Unadjusted",0.154387512907849,"PA"
"45","Xie et al.","2018","Prevalence of childhood trauma and correlations between childhood trauma, suicidal ideation, and social support in patients with depression, bipolar disorder, and schizophrenia in southern China",NA,"Case-control",NA,"China","2014 - 2015",348,"216",132,"27.89",7.09,"27.91","8.325","27.86","4.381",NA,NA,162,186,108,108,54,78,"ICD-10","SCZ","Diagnostic","CTQ -SF","CT, PA, EA, EN, SA, PN","Y","No history of psychiatric problems or substance abuse",-0.0253178079842899,-0.710165130167019,0.659529514198439,"N","Case-control",NA,"Y","N",7,"Good","OR",2,"348",1,"0.465517241",1,"Unadjusted",0.122088675213675,"PA"
"46","Devi et al.","2019","The prevalence of childhood trauma in psychiatric outpatients",NA,"Case-control",NA,"Singapore","2015 - 2016",191,"91",100,NA,NA,"27.5","5.46","23.4","5.89",NA,NA,85,106,40,51,45,55,"Diagnozed","SCZ, PSYD","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y",NA,0.948551594092376,0.2579983985694,1.63910478961535,"N","Case-control",NA,"N","N",8,"Good","OR",1,"191",1,"0.445026178",1,"Unadjusted",0.124131537861046,"PA"
